checklist_id,term,baseline_rating,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,relocation_priority,conceptual_home
PQ-001,[unifiable type]s,poor,types-and-traits.rst,2058,fls_aie0tr62vhw5,Type Unification,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,88,patterns.rst,Patterns,low_forward_ref,true
PQ-002,alignment,poor,types-and-traits.rst,1688,fls_muxfn9soi47l,Type Layout,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1661,types-and-traits.rst,Type Layout,high,false
PQ-003,arity,poor,types-and-traits.rst,708,fls_ivWBnhfOZUrW,Tuple Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,1059,patterns.rst,Tuple Struct Patterns,high,false
PQ-004,associated trait constant,poor,associated-items.rst,115,fls_x564isbhobym,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3692,implementations.rst,Implementation Conformance,low_forward_ref,true
PQ-005,attribute content,poor,attributes.rst,59,fls_9TMRVlQwAdTB,Attributes,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,862,macros.rst,Token Matching,low_forward_ref,true
PQ-006,borrowed,poor,ownership-and-deconstruction.rst,168,fls_yL6cMahJUIqO,Borrowing,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1008,expressions.rst,Borrow Expression,low_forward_ref,true
PQ-007,c,poor,ffi.rst,65,fls_EcG0AVDg8TUj,ABI,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1225,types-and-traits.rst,Function Pointer Types,high,false
PQ-008,code point,poor,lexical-elements.rst,34,fls_4h2v3pk7qz6n,Character Set,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2219,expressions.rst,Type Cast Expressions,high,false
PQ-009,constant function,poor,functions.rst,173,fls_2049qu3ji5x7,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,200,expressions.rst,Constant Expressions,low_forward_ref,true
PQ-010,construct,poor,entities-and-resolution.rst,26,fls_t1kEzrZaE1Af,Entities,1c2c2b73313fb48987ed02ac044ff68cec69968e,general.rst,158,generics.rst,Where Clauses,low_forward_ref,true
PQ-011,container operand,poor,expressions.rst,3718,fls_s2vpn4ihenpe,Field Access Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,454,entities-and-resolution.rst,Field Resolution,low_forward_ref,true
PQ-012,dangling,poor,values.rst,62,fls_649WudgnmRKE,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1183,expressions.rst,Dereference Expression,low_forward_ref,true
PQ-013,enum variant value,poor,types-and-traits.rst,774,fls_KTzAGty3T5fF,Enum Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,821,patterns.rst,Record Struct Patterns,low_forward_ref,true
PQ-014,expression,poor,expressions.rst,78,fls_h5o6tgul4yor,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,648,types-and-traits.rst,Type Inference,low_forward_ref,true
PQ-015,expression-without-block,poor,expressions.rst,86,fls_p15oeage4j0e,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,647,macros.rst,Macro Expansion,low_forward_ref,true
PQ-016,field,poor,types-and-traits.rst,733,fls_74bRiJktNHvk,Abstract Data Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1026,patterns.rst,Record Struct Patterns,high,false
PQ-017,field index,poor,types-and-traits.rst,977,fls_3QSa0wGQtbHh,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3263,expressions.rst,Struct Expressions,high,false
PQ-018,function,poor,functions.rst,52,fls_gn1ngtx2tp2s,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,312,macros.rst,Procedural Macros,low_forward_ref,true
PQ-019,function body,poor,functions.rst,153,fls_927nfm5mkbsp,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2585,types-and-traits.rst,Type Inference,low_forward_ref,true
PQ-020,function signature,poor,functions.rst,167,fls_owdlsaaygtho,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2335,types-and-traits.rst,Type Coercion,low_forward_ref,true
PQ-021,generic substitution,poor,generics.rst,360,fls_8j3ARLPm65vI,Generic Arguments,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1545,types-and-traits.rst,Type Parameters,low_forward_ref,true
PQ-022,generic type,poor,generics.rst,69,fls_0GhOR32Z4j7M,Generic Parameters,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3349,types-and-traits.rst,Subtyping and Variance,low_forward_ref,true
PQ-023,immutable,poor,values.rst,21,fls_CEBZEvtmIRGv,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,4815,expressions.rst,Match Expressions,low_forward_ref,true
PQ-024,implementation,poor,implementations.rst,40,fls_ivxpoxggy7s6,Implementations,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3087,generics.rst,Generic Parameters,low_forward_ref,true
PQ-025,implemented trait,poor,implementations.rst,73,fls_47x0ep8of8wr,Implementations,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3618,implementations.rst,Implementation Conformance,low_forward_ref,true
PQ-026,implementing type,poor,implementations.rst,44,fls_yopmjbnw8tbl,Implementations,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3617,types-and-traits.rst,Function Lifetime Elision,low_forward_ref,true
PQ-027,initialization,poor,values.rst,27,fls_8rAyM4S3x1ap,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,ownership-and-deconstruction.rst,36,ownership-and-deconstruction.rst,Initialization,high,false
PQ-028,item,poor,entities-and-resolution.rst,34,fls_ogrs6SwlsaKg,Entities,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,497,macros.rst,Macro Expansion,low_forward_ref,true
PQ-029,lifetime parameter,poor,generics.rst,98,fls_s0nrjwqg2wox,Generic Parameters,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3260,types-and-traits.rst,Trait and Lifetime Bounds,high,false
PQ-030,method,poor,associated-items.rst,170,fls_oy92gzxgc273,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3607,expressions.rst,Method Call Expressions,low_forward_ref,true
PQ-031,mutability,poor,values.rst,18,fls_RJDPClYE8a9x,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2197,types-and-traits.rst,Type Unification,low_forward_ref,true
PQ-032,mutable,poor,values.rst,24,fls_U9CPQq4fs7IK,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3103,expressions.rst,Indexing Expressions,low_forward_ref,true
PQ-033,mutable reference,poor,ownership-and-deconstruction.rst,128,fls_fckoj1jh5mrc,References,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,5264,expressions.rst,Capturing,low_forward_ref,true
PQ-034,mutable static,poor,values.rst,187,fls_doi4z6u55bi7,Statics,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,466,expressions.rst,Place Expressions,low_forward_ref,true
PQ-035,mutable variable,poor,values.rst,273,fls_kBX7Qa4S2VnM,Variables,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,469,expressions.rst,Place Expressions,low_forward_ref,true
PQ-036,name,poor,entities-and-resolution.rst,38,fls_40d2g0hvq2il,Entities,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,488,entities-and-resolution.rst,Visibility,low_forward_ref,true
PQ-037,operand,poor,expressions.rst,90,fls_gwgttltgjma4,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,statements.rst,189,expressions.rst,Type Cast Expressions,low_forward_ref,true
PQ-038,pattern-without-alternation,poor,patterns.rst,48,fls_mp6i4blzexnu,Patterns,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,869,ownership-and-deconstruction.rst,Drop Order,low_forward_ref,true
PQ-039,pattern-without-range,poor,patterns.rst,51,fls_JJ1fJa1SsaWh,Patterns,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,652,macros.rst,Macro Expansion,low_forward_ref,true
PQ-040,pointer,poor,types-and-traits.rst,1175,fls_TGJQnwS4v9nZ,Indirection Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2243,expressions.rst,Type Cast Expressions,high,false
PQ-041,qualified path expression,poor,entities-and-resolution.rst,394,fls_7sm3206va03c,Paths,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,398,patterns.rst,Path Patterns,low_forward_ref,true
PQ-042,record enum variant,poor,types-and-traits.rst,789,fls_9vlr65nzdwf2,Enum Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3323,expressions.rst,Struct Expressions,low_forward_ref,true
PQ-043,renaming,poor,program-structure-and-compilation.rst,181,fls_2v7k7p4v0xra,Crate Imports,1c2c2b73313fb48987ed02ac044ff68cec69968e,entities-and-resolution.rst,968,entities-and-resolution.rst,Use Imports,high,false
PQ-044,representation modifier,poor,attributes.rst,1567,fls_8l5b6qxw0c9d,Attribute ``repr``,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1854,types-and-traits.rst,Type Representation,low_forward_ref,true
PQ-045,return type,poor,functions.rst,141,fls_vljy4mm0zca2,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,359,expressions.rst,Closure Expressions,low_forward_ref,true
PQ-046,safety invariant,poor,unsafety.rst,21,fls_9k2m4p7q1v6n,Unsafety,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,665,attributes.rst,Attribute ``naked``,low_forward_ref,true
PQ-047,self parameter,poor,functions.rst,71,fls_ymeo93t4mz4,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3178,types-and-traits.rst,Object Safety,low_forward_ref,true
PQ-048,shared reference,poor,ownership-and-deconstruction.rst,125,fls_4m2v8k1q9p0s,References,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1322,types-and-traits.rst,Reference Types,low_forward_ref,true
PQ-049,size,poor,types-and-traits.rst,1694,fls_1pbwigq6f3ha,Type Layout,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2293,expressions.rst,Type Cast Expressions,high,false
PQ-050,size operand,poor,types-and-traits.rst,581,fls_4sd5dgy2unq7,Array Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,299,expressions.rst,Array Expressions,high,false
PQ-051,statement,poor,statements.rst,25,fls_5t8n2p7c0m1d,Statements,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,552,macros.rst,Macro Invocation,low_forward_ref,true
PQ-052,temporary,poor,values.rst,251,fls_awpw61yofckz,Temporaries,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,434,expressions.rst,Await Expressions,low_forward_ref,true
PQ-053,trait,poor,types-and-traits.rst,3027,fls_tani6lesan9u,Traits,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,222,entities-and-resolution.rst,Path Expression Resolution,low_forward_ref,true
PQ-054,tuple enum variant value,poor,types-and-traits.rst,797,fls_h2m9k6p4r7vd,Enum Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3459,expressions.rst,Call Expressions,low_forward_ref,true
PQ-055,tuple struct value,poor,types-and-traits.rst,952,fls_j9r1c6m3v7kw,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3459,expressions.rst,Call Expressions,low_forward_ref,true
PQ-056,type bound predicate,poor,generics.rst,294,fls_cslGPmVjujHD,Where Clauses,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3163,types-and-traits.rst,Object Safety,low_forward_ref,true
PQ-057,type parameter,poor,generics.rst,105,fls_95eooah0vcqx,Generic Parameters,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1446,expressions.rst,Arithmetic Expressions,high,false
PQ-058,type specification,poor,types-and-traits.rst,54,fls_r3g5n7t2k9vq,Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,355,entities-and-resolution.rst,Scope Hierarchy,low_forward_ref,true
PQ-059,unifiable,poor,types-and-traits.rst,2052,fls_m4p8k1v7t2qa,Type Unification,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2977,expressions.rst,Struct Expressions,low_forward_ref,true
PQ-060,unified type,poor,types-and-traits.rst,2055,fls_v7k2m9p1t4qa,Type Unification,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,710,expressions.rst,Block Expressions,low_forward_ref,true
PQ-061,unit enum variant,poor,types-and-traits.rst,786,fls_r2m9k6t1v4pa,Enum Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,652,patterns.rst,Identifier Patterns,low_forward_ref,true
PQ-062,unit struct constant,poor,types-and-traits.rst,961,fls_6c1v8m4p2tqa,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,175,patterns.rst,Identifier Patterns,low_forward_ref,true
PQ-063,unit type,poor,types-and-traits.rst,699,fls_s1m7q5t2v8wn,Tuple Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,statements.rst,181,types-and-traits.rst,Type Inference,low_forward_ref,true
PQ-064,unit value,poor,types-and-traits.rst,705,fls_y6c2p9k4m1ra,Tuple Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,740,expressions.rst,Block Expressions,high,false
PQ-065,unsafe context,poor,unsafety.rst,57,fls_jb6krd90tjmc,Unsafety,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,657,expressions.rst,Field Access Expressions,low_forward_ref,true
PQ-066,unsafe function,poor,functions.rst,204,fls_7ucwmzqtittv,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1150,unsafety.rst,Unsafety,low_forward_ref,true
PQ-067,unsafe function pointer type,poor,types-and-traits.rst,1221,fls_5dd7icjcl3nt,Function Pointer Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3494,expressions.rst,Call Expressions,low_forward_ref,true
PQ-068,unsafe operation,poor,unsafety.rst,29,fls_ovn9czwnwxue,Unsafety,1c2c2b73313fb48987ed02ac044ff68cec69968e,attributes.rst,1595,attributes.rst,Attribute ``unsafe``,low_forward_ref,true
PQ-069,validity invariant,poor,unsafety.rst,25,fls_M4Q4vAJmapq8,Unsafety,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,356,types-and-traits.rst,Bool Type,low_forward_ref,true
PQ-070,value,poor,values.rst,14,fls_buyaqara7am4,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,34,expressions.rst,Type Cast Expressions,low_forward_ref,true
PQ-071,variable,poor,values.rst,262,fls_hl5tnd9yy252,Variables,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,147,ownership-and-deconstruction.rst,Initialization,low_forward_ref,true
PQ-072,visible empty enum variant,poor,types-and-traits.rst,2521,fls_A2W4v53ihTGx,Visible Emptiness,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,408,patterns.rst,Path Patterns,low_forward_ref,true
PQ-073,where clause,poor,generics.rst,281,fls_3nqb7p5ifvio,Where Clauses,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1639,entities-and-resolution.rst,Generic Parameter Scope,low_forward_ref,true
PQ-074,anonymous return type,questionable,types-and-traits.rst,1397,fls_3aKZB0ILIkZw,Impl Trait Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3838,expressions.rst,Closure Expressions,low_forward_ref,true
PQ-075,array,questionable,types-and-traits.rst,574,fls_xmmgSHsTHDtc,Array Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2954,expressions.rst,Array Expressions,low_forward_ref,true
PQ-076,assigned operand,questionable,expressions.rst,2661,fls_dvy201zd6oym,Compound Assignment Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2615,expressions.rst,Compound Assignment Expressions,low_forward_ref,true
PQ-077,assignee operand,questionable,expressions.rst,2401,fls_bsjw6f4a3wol,Assignment Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,488,expressions.rst,Destructuring Assignment,low_forward_ref,true
PQ-078,associated constant,questionable,associated-items.rst,32,fls_5y6ae0xqux57,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,309,patterns.rst,Path Patterns,low_forward_ref,true
PQ-079,associated function,questionable,associated-items.rst,36,fls_lj7492aq7fzo,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3166,types-and-traits.rst,Object Safety,low_forward_ref,true
PQ-080,associated implementation constant,questionable,associated-items.rst,85,fls_l3iwn56n1uz8,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3688,types-and-traits.rst,Static Lifetime Elision,low_forward_ref,true
PQ-081,associated item,questionable,associated-items.rst,28,fls_ckzd25qd213t,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,640,macros.rst,Macro Expansion,low_forward_ref,true
PQ-082,associated trait function,questionable,associated-items.rst,119,fls_b6nns7oqvdpm,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,294,implementations.rst,Implementation Conformance,low_forward_ref,true
PQ-083,associated type,questionable,associated-items.rst,40,fls_8cz4rdrklaj4,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1159,expressions.rst,Dereference Expression,low_forward_ref,true
PQ-084,associativity,questionable,expressions.rst,5083,fls_bezkcuwp5qol,Expression Precedence,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,5076,expressions.rst,Expression Precedence,medium,false
PQ-085,async function,questionable,functions.rst,183,fls_m3jiunibqj81,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,790,expressions.rst,Async Blocks,low_forward_ref,true
PQ-086,attribute,questionable,attributes.rst,47,fls_rnzxj1t0hehl,Attributes,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,523,attributes.rst,Built-in Attributes,low_forward_ref,true
PQ-087,binary crate,questionable,program-structure-and-compilation.rst,129,fls_9ub6ks8qrang,Crates,1c2c2b73313fb48987ed02ac044ff68cec69968e,attributes.rst,2173,attributes.rst,Attribute ``windows_subsystem``,low_forward_ref,true
PQ-088,binary operator,questionable,expressions.rst,105,fls_yOW2wnLPzlPy,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,98,expressions.rst,Expressions,low_forward_ref,true
PQ-089,binding argument,questionable,generics.rst,374,fls_9pda3ja0ihks,Generic Arguments,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3838,generics.rst,Generic Conformance,medium,false
PQ-090,borrow,questionable,ownership-and-deconstruction.rst,165,fls_j9kof0px3l7s,Borrowing,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1062,expressions.rst,Raw Borrow Expression,low_forward_ref,true
PQ-091,bound,questionable,types-and-traits.rst,3230,fls_5g508z6c7q5f,Trait and Lifetime Bounds,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2988,types-and-traits.rst,Type Inference,low_forward_ref,true
PQ-092,comment,questionable,lexical-elements.rst,1350,fls_8obn3dtzpe5f,Comments,1c2c2b73313fb48987ed02ac044ff68cec69968e,lexical-elements.rst,279,lexical-elements.rst,"Lexical Elements, Separators, and Punctuation",low_forward_ref,true
PQ-093,concrete type,questionable,types-and-traits.rst,63,fls_cTF1sJ9I2XJd,Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,attributes.rst,1707,attributes.rst,Attribute ``type_length_limit``,none,true
PQ-094,conditional compilation,questionable,program-structure-and-compilation.rst,236,fls_a0u9nnaf6drz,Conditional Compilation,1c2c2b73313fb48987ed02ac044ff68cec69968e,attributes.rst,928,attributes.rst,Attribute ``cfg``,low_forward_ref,true
PQ-095,constant,questionable,values.rst,104,fls_5o5iu4j8in4l,Constants,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,310,expressions.rst,Constant Expressions,low_forward_ref,true
PQ-096,constant argument,questionable,generics.rst,388,fls_i3z9ueoe99zd,Generic Arguments,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,313,generics.rst,Generic Parameters,medium,false
PQ-097,constant initializer,questionable,values.rst,120,fls_ndmfqxjpvsqy,Constants,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,309,expressions.rst,Constant Expressions,low_forward_ref,true
PQ-098,constant parameter,questionable,generics.rst,84,fls_vpcqgec83ybt,Generic Parameters,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,313,generics.rst,Generic Conformance,medium,false
PQ-099,constant parameter initializer,questionable,generics.rst,87,fls_3SjMBlc0b7qo,Generic Parameters,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2579,generics.rst,Generic Conformance,medium,false
PQ-100,copy type,questionable,ownership-and-deconstruction.rst,278,fls_h2pgsij1rbms,Passing Conventions,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1052,types-and-traits.rst,Union Types,low_forward_ref,true
PQ-101,crate,questionable,program-structure-and-compilation.rst,113,fls_qwghk79ok5h0,Crates,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,316,macros.rst,Procedural Macros,low_forward_ref,true
