checklist_id,term,wave,source_set,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,placement_priority,placement_fitness_rating,divergence_match_category,divergence_reliability,divergence_similarity,before_evidence_ref,action_type,decision_detail,reason_code,reason_why,reason_quality,semantic_change_flag,review_attention,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,final_quality,batch_id,quarantine_status,quarantine_reason,notes
WA-001,value,WA,v2-foundational,expressions.rst,2214,fls_buyaqara7am4,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,34,lexical-elements.rst,Character Set,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=value,retain+rewrite,Retained the Type Cast Expressions paragraph and rewrote term markup from :dt:`value` to :t:`value` so canonical ownership stays in glossary.,retain-link-mitigated,"Before expressions.rst:2214 (fls_buyaqara7am4) used :dt:`value` inline, which diluted canonical ownership and discoverability because the same concept is defined in glossary. After the same anchored paragraph keeps context but uses :t:`value`, improving link-based discoverability with no Rust 2021 semantic change.",pass,clarification-only,required,expressions.rst,2214,fls_buyaqara7am4,Type Cast Expressions,52f1285682360265eb49061c6a00755cc6ae96c0,src/expressions.rst:2214,completed,resolved-high,batch-001,,,
WA-002,expression,WA,v2-foundational,types-and-traits.rst,2522,fls_h5o6tgul4yor,Type Inference,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,648,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=expression,retain+rewrite,Retained Type Inference bullet and rewrote :dt:`expression` to :t:`expression` as a reference to the canonical glossary definition.,retain-link-mitigated,"Before types-and-traits.rst:2522 (fls_h5o6tgul4yor) marked a non-definitional occurrence as :dt:`expression`, weakening ownership signals. After the same location uses :t:`expression`, preserving local readability while directing discoverability to the canonical definition with no semantic or normative Rust 2021 change.",pass,clarification-only,required,types-and-traits.rst,2522,fls_h5o6tgul4yor,Type Inference,52f1285682360265eb49061c6a00755cc6ae96c0,src/types-and-traits.rst:2522,completed,resolved-high,batch-001,,,
WA-003,type,WA,v2-foundational,types-and-traits.rst,2240,fls_4rhjpdu4zfqj,Type Coercion,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,614,,,none,acceptable,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=type,retain+rewrite,"Retained Type Coercion paragraph and rewrote :dt:`type` to :t:`type` so the paragraph references, rather than redefines, the canonical term.",retain-link-mitigated,"Before types-and-traits.rst:2240 (fls_4rhjpdu4zfqj) repeated :dt:`type` in running text, creating competing ownership for a foundational concept. After the same anchor uses :t:`type`, which improves glossary discoverability and keeps the chapter explanation intact with clarification-only, non-normative effect.",pass,clarification-only,required,types-and-traits.rst,2240,fls_4rhjpdu4zfqj,Type Coercion,52f1285682360265eb49061c6a00755cc6ae96c0,src/types-and-traits.rst:2240,completed,resolved-high,batch-001,,,
WA-004,trait,WA,v2-foundational,entities-and-resolution.rst,1758,fls_tani6lesan9u,Path Expression Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,222,expressions.rst,Constant Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=trait,retain+rewrite,Retained Path Expression Resolution rule and rewrote :dt:`trait` to :t:`trait` because this clause references an existing concept rather than defining it.,retain-link-mitigated,"Before entities-and-resolution.rst:1758 (fls_tani6lesan9u) used :dt:`trait` inside a lookup rule, which is a reference context and not a canonical owner. After the same anchor uses :t:`trait`, improving term discoverability and consistency of ownership while preserving Rust 2021 behavior.",pass,clarification-only,required,entities-and-resolution.rst,1758,fls_tani6lesan9u,Path Expression Resolution,52f1285682360265eb49061c6a00755cc6ae96c0,src/entities-and-resolution.rst:1758,completed,resolved-high,batch-001,,,
WA-005,construct,WA,v2-foundational,entities-and-resolution.rst,527,fls_3nqb7p5ifvio,Generic Parameter Scope,19e75856eac5694e5d613c7c59b429848d333992,general.rst,158,lexical-elements.rst,Comments,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=construct,retain+rewrite,Retained Generic Parameter Scope paragraph and rewrote :dt:`construct` to :t:`construct` to keep definitional ownership centralized.,retain-link-mitigated,"Before entities-and-resolution.rst:527 (fls_3nqb7p5ifvio) marked :dt:`construct` in a dependency sentence, which reduced clarity about where the concept is canonically defined. After the same anchor references :t:`construct`, improving ownership and link discoverability without changing semantics.",pass,clarification-only,required,entities-and-resolution.rst,527,fls_3nqb7p5ifvio,Generic Parameter Scope,52f1285682360265eb49061c6a00755cc6ae96c0,src/entities-and-resolution.rst:527,completed,resolved-high,batch-001,,,
WA-006,entity,WA,v2-foundational,entities-and-resolution.rst,1537,fls_p23q1ob2qitz,Path Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,665,expressions.rst,Path Expressions,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=entity,retain+rewrite,"Retained Path Resolution rule and rewrote :dt:`entity` to :t:`entity` because the sentence is a usage constraint, not a canonical definition site.",retain-link-mitigated,"Before entities-and-resolution.rst:1537 (fls_p23q1ob2qitz) used :dt:`entity` in normative resolution text, creating redundant definition-like markup. After the same anchor uses :t:`entity`, preserving first-use readability and improving canonical discoverability with no Rust 2021 meaning change.",pass,clarification-only,required,entities-and-resolution.rst,1537,fls_p23q1ob2qitz,Path Resolution,52f1285682360265eb49061c6a00755cc6ae96c0,src/entities-and-resolution.rst:1537,completed,resolved-high,batch-001,,,
WA-007,name,WA,v2-foundational,entities-and-resolution.rst,151,fls_7kpepal8ghuj,Visibility,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,488,lexical-elements.rst,Identifiers,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=name,retain+rewrite,Retained Visibility paragraph and rewrote :dt:`name` to :t:`name` to align this line with reference usage and glossary ownership.,retain-link-mitigated,"Before entities-and-resolution.rst:151 (fls_7kpepal8ghuj) marked :dt:`name` inside a visibility property statement, where the term is referenced rather than defined. After the same anchor uses :t:`name`, improving ownership and discoverability while keeping the rule’s semantics unchanged.",pass,clarification-only,required,entities-and-resolution.rst,151,fls_7kpepal8ghuj,Visibility,52f1285682360265eb49061c6a00755cc6ae96c0,src/entities-and-resolution.rst:151,completed,resolved-high,batch-001,,,
WA-008,item,WA,v2-foundational,macros.rst,498,fls_knjsslplv5ri,Attribute Macros,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,497,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=item,retain+rewrite,"Retained Attribute Macros paragraph and rewrote :dt:`item` to :t:`item` because the line describes token capture, not a term definition.",retain-link-mitigated,"Before macros.rst:498 (fls_knjsslplv5ri) used :dt:`item` in an operational sentence, which blurred the canonical definition location. After the same anchor references :t:`item`, improving glossary-oriented discoverability and preserving procedural macro semantics exactly.",pass,clarification-only,required,macros.rst,498,fls_knjsslplv5ri,Attribute Macros,52f1285682360265eb49061c6a00755cc6ae96c0,src/macros.rst:498,completed,resolved-high,batch-001,,,
WA-009,field,WA,v2-foundational,patterns.rst,844,fls_mnh35ehva8tx,Record Struct Patterns,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1039,expressions.rst,Borrow Expression,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=field,retain+rewrite,Retained Record Struct Patterns paragraph and rewrote :dt:`field` to :t:`field` so this usage points to the canonical glossary concept.,retain-link-mitigated,"Before patterns.rst:844 (fls_mnh35ehva8tx) marked :dt:`field` in a positional matching explanation, which is a reference context. After the same anchor uses :t:`field`, improving ownership and cross-section discoverability with no change to matching semantics.",pass,clarification-only,required,patterns.rst,844,fls_mnh35ehva8tx,Record Struct Patterns,52f1285682360265eb49061c6a00755cc6ae96c0,src/patterns.rst:844,completed,resolved-high,batch-001,,,
WA-010,reference,WA,v2-foundational,expressions.rst,1019,fls_ya77l2zgtilp,Borrow Expression,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1006,ownership-and-deconstruction.rst,References,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=reference,retain+rewrite,Retained Borrow Expression paragraph and rewrote :dt:`reference` to :t:`reference` to avoid duplicate definitional markup in operational text.,retain-link-mitigated,"Before expressions.rst:1019 (fls_ya77l2zgtilp) used :dt:`reference` where borrow behavior is described, not where the term is canonically defined. After the same anchor uses :t:`reference`, strengthening discoverability of the canonical owner and leaving Rust 2021 borrowing rules unchanged.",pass,clarification-only,required,expressions.rst,1019,fls_ya77l2zgtilp,Borrow Expression,52f1285682360265eb49061c6a00755cc6ae96c0,src/expressions.rst:1019,completed,resolved-high,batch-001,,,
WA-011,implementation,WA,v2-foundational,generics.rst,65,fls_z311nxou9yi3,Generic Parameters,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1457,expressions.rst,Arithmetic Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=implementation,retain+rewrite,Retained Generic Parameters paragraph and rewrote :dt:`implementation` to :t:`implementation` while keeping :dt:`generic implementation` as the local defined concept.,retain-link-mitigated,"Before generics.rst:65 (fls_z311nxou9yi3) used :dt:`implementation` in a sentence that defines generic implementation, causing nested ownership ambiguity. After the same anchor references :t:`implementation`, improving ownership precision and discoverability with clarification-only impact.",pass,clarification-only,required,generics.rst,65,fls_z311nxou9yi3,Generic Parameters,52f1285682360265eb49061c6a00755cc6ae96c0,src/generics.rst:65,completed,resolved-high,batch-001,,,
WA-012,method,WA,v2-foundational,expressions.rst,3654,fls_b7i26954j1hc,Method Call Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3659,,,none,good,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=method,retain+rewrite,Retained Method Call Expressions paragraph and rewrote :dt:`method` to :t:`method` because the clause invokes an existing concept.,retain-link-mitigated,"Before expressions.rst:3654 (fls_b7i26954j1hc) used :dt:`method` in an invocation description, which is not the canonical definition context. After the same anchor uses :t:`method`, improving conceptual ownership and term discoverability without semantic changes.",pass,clarification-only,required,expressions.rst,3654,fls_b7i26954j1hc,Method Call Expressions,52f1285682360265eb49061c6a00755cc6ae96c0,src/expressions.rst:3654,completed,resolved-high,batch-001,,,
WA-013,crate,WA,v2-foundational,macros.rst,316,fls_pcce9gmjpxba,Procedural Macros,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,53,program-structure-and-compilation.rst,Crates,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=crate,retain+rewrite,Retained Procedural Macros rule and rewrote :dt:`crate` to :t:`crate` so the requirement references the canonical concept instead of redefining it.,retain-link-mitigated,"Before macros.rst:316 (fls_pcce9gmjpxba) used :dt:`crate` inside a constraint on procedural macros, which is a reference context and not conceptual ownership. After the same anchor uses :t:`crate`, discoverability improves while the proc-macro requirement remains identical.",pass,clarification-only,required,macros.rst,316,fls_pcce9gmjpxba,Procedural Macros,52f1285682360265eb49061c6a00755cc6ae96c0,src/macros.rst:316,completed,resolved-high,batch-001,,,
WA-014,module,WA,v2-foundational,program-structure-and-compilation.rst,73,fls_odd1hj3y1mgu,Modules,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,735,entities-and-resolution.rst,Visibility,low_forward_ref,acceptable_at_home,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=module,retain+rewrite,Retained Modules paragraph and rewrote :dt:`module` to :t:`module` to keep one canonical definition path and use this chapter line as linked explanatory text.,retain-link-mitigated,"Before program-structure-and-compilation.rst:73 (fls_odd1hj3y1mgu) presented :dt:`module` in chapter prose, competing with canonical glossary ownership for a foundational term. After the same anchor uses :t:`module`, preserving readability and improving discoverability with no Rust 2021 semantic shift.",pass,clarification-only,required,program-structure-and-compilation.rst,73,fls_odd1hj3y1mgu,Modules,52f1285682360265eb49061c6a00755cc6ae96c0,src/program-structure-and-compilation.rst:73,completed,resolved-high,batch-001,,,
WA-015,statement,WA,v2-foundational,macros.rst,552,fls_6v06zvi1ctub,Macro Invocation,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,656,statements.rst,Statements,medium,questionable,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=statement,retain+rewrite,"Retained Macro Invocation paragraph and rewrote :dt:`statement` to :t:`statement` because this is a usage eligibility rule, not a definition site.",retain-link-mitigated,"Before macros.rst:552 (fls_6v06zvi1ctub) used :dt:`statement` in a permissibility sentence, which weakened canonical ownership and linkage consistency. After the same anchor uses :t:`statement`, discoverability is improved and macro invocation semantics are unchanged.",pass,clarification-only,required,macros.rst,552,fls_6v06zvi1ctub,Macro Invocation,52f1285682360265eb49061c6a00755cc6ae96c0,src/macros.rst:552,completed,resolved-high,batch-001,,,
WB-001,field list,WB,v2-placement-priority,types-and-traits.rst,772,fls_YERnNZiSdCRn,Enum Types,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,658,expressions.rst,Path Expressions,high,poor,cosmetic,high,,inputs/fls-pr6-placement-fitness-v2.json:term=field list,retain+rewrite,Retained the Enum Types paragraph and rewrote :dt:`field list` to :t:`field list` so this sentence references the canonical term instead of redefining it in local prose.,retain-link-mitigated,"Before types-and-traits.rst:772 (fls_YERnNZiSdCRn) used :dt:`field list` in explanatory text, which diluted canonical ownership and discoverability. After types-and-traits.rst:771 keeps the same anchor and context but uses :t:`field list`, improving glossary linkage with no Rust 2021 semantic change.",pass,clarification-only,required,types-and-traits.rst,771,fls_YERnNZiSdCRn,Enum Types,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/types-and-traits.rst:771,completed,resolved-high,batch-002,,,
WB-002,type specification,WB,v2-placement-priority,entities-and-resolution.rst,759,fls_9k9hourczbv7,Scope Hierarchy,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,355,macros.rst,Function-like Macros,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=type specification,retain+rewrite,Retained the Scope Hierarchy paragraph and rewrote :dt:`type specification` to :t:`type specification` because this line uses the concept but is not its canonical owner.,retain-link-mitigated,"Before entities-and-resolution.rst:759 (fls_9k9hourczbv7) marked a usage as :dt:`type specification`, creating competing ownership. After entities-and-resolution.rst:758 keeps first-use readability while using :t:`type specification` to improve discoverability with clarification-only impact.",pass,clarification-only,required,entities-and-resolution.rst,758,fls_9k9hourczbv7,Scope Hierarchy,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/entities-and-resolution.rst:758,completed,resolved-high,batch-002,,,
WB-003,concrete type,WB,v2-placement-priority,attributes.rst,1711,fls_61vt1r8g51nh,Attribute ``type_length_limit``,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,56,types-and-traits.rst,Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=concrete type,retain+rewrite,Retained the type_length_limit rule and rewrote :dt:`concrete type` to :t:`concrete type` so this constraint references the canonical concept rather than redefining it.,retain-link-mitigated,"Before attributes.rst:1711 (fls_61vt1r8g51nh) used :dt:`concrete type` in an operational constraint, reducing ownership clarity. After attributes.rst:1708 uses :t:`concrete type`, improving link discoverability and preserving the same Rust 2021 rule behavior.",pass,clarification-only,required,attributes.rst,1708,fls_61vt1r8g51nh,Attribute ``type_length_limit``,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/attributes.rst:1708,completed,resolved-high,batch-002,,,
WB-004,generic function,WB,v2-placement-priority,values.rst,168,fls_mt94jvoot9dx,Statics,19e75856eac5694e5d613c7c59b429848d333992,generics.rst,62,generics.rst,Generic Parameters,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=generic function,retain+rewrite,Retained the Statics paragraph and rewrote :dt:`generic function` to :t:`generic function` because the sentence constrains statics and references this concept.,retain-link-mitigated,"Before values.rst:168 (fls_mt94jvoot9dx) used :dt:`generic function` in a usage context, weakening conceptual ownership. After values.rst:167 keeps the same anchor but uses :t:`generic function`, improving discoverability without any normative Rust 2021 change.",pass,clarification-only,required,values.rst,167,fls_mt94jvoot9dx,Statics,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/values.rst:167,completed,resolved-high,batch-002,,,
