checklist_id,term,wave,source_set,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,placement_priority,placement_fitness_rating,divergence_match_category,divergence_reliability,divergence_similarity,before_evidence_ref,action_type,decision_detail,reason_code,reason_why,reason_quality,semantic_change_flag,review_attention,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,final_quality,batch_id,quarantine_status,quarantine_reason,notes,rationale_uuid,rationale_inserted_at_utc,rationale_text_sha256,recommendation_priority,recommendation_used,deviation_permit_path,deviation_permit_sha256,deviation_approved_by,deviation_status
WA-001,value,WA,v2-foundational,expressions.rst,2214,fls_buyaqara7am4,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,34,lexical-elements.rst,Character Set,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=value,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-002,expression,WA,v2-foundational,types-and-traits.rst,2522,fls_h5o6tgul4yor,Type Inference,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,648,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=expression,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-003,type,WA,v2-foundational,types-and-traits.rst,2240,fls_4rhjpdu4zfqj,Type Coercion,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,614,,,none,acceptable,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=type,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-004,trait,WA,v2-foundational,entities-and-resolution.rst,1758,fls_tani6lesan9u,Path Expression Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,222,expressions.rst,Constant Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=trait,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-005,construct,WA,v2-foundational,entities-and-resolution.rst,527,fls_3nqb7p5ifvio,Generic Parameter Scope,19e75856eac5694e5d613c7c59b429848d333992,general.rst,158,lexical-elements.rst,Comments,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=construct,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-006,entity,WA,v2-foundational,entities-and-resolution.rst,1537,fls_p23q1ob2qitz,Path Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,665,expressions.rst,Path Expressions,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=entity,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-007,name,WA,v2-foundational,entities-and-resolution.rst,151,fls_7kpepal8ghuj,Visibility,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,488,lexical-elements.rst,Identifiers,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=name,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-008,item,WA,v2-foundational,macros.rst,498,fls_knjsslplv5ri,Attribute Macros,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,497,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=item,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-009,field,WA,v2-foundational,patterns.rst,844,fls_mnh35ehva8tx,Record Struct Patterns,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1039,expressions.rst,Borrow Expression,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=field,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-010,reference,WA,v2-foundational,expressions.rst,1019,fls_ya77l2zgtilp,Borrow Expression,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1006,ownership-and-deconstruction.rst,References,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=reference,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-011,implementation,WA,v2-foundational,generics.rst,65,fls_z311nxou9yi3,Generic Parameters,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1457,expressions.rst,Arithmetic Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=implementation,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-012,method,WA,v2-foundational,expressions.rst,3654,fls_b7i26954j1hc,Method Call Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3659,,,none,good,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=method,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-013,crate,WA,v2-foundational,macros.rst,316,fls_pcce9gmjpxba,Procedural Macros,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,53,program-structure-and-compilation.rst,Crates,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=crate,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-014,module,WA,v2-foundational,program-structure-and-compilation.rst,73,fls_odd1hj3y1mgu,Modules,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,735,entities-and-resolution.rst,Visibility,low_forward_ref,acceptable_at_home,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=module,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-015,statement,WA,v2-foundational,macros.rst,552,fls_6v06zvi1ctub,Macro Invocation,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,656,statements.rst,Statements,medium,questionable,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=statement,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-001,field list,WB,v2-placement-priority,types-and-traits.rst,772,fls_YERnNZiSdCRn,Enum Types,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,658,expressions.rst,Path Expressions,high,poor,cosmetic,high,,inputs/fls-pr6-placement-fitness-v2.json:term=field list,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-002,type specification,WB,v2-placement-priority,entities-and-resolution.rst,759,fls_9k9hourczbv7,Scope Hierarchy,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,355,macros.rst,Function-like Macros,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=type specification,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-003,concrete type,WB,v2-placement-priority,attributes.rst,1711,fls_61vt1r8g51nh,Attribute ``type_length_limit``,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,56,types-and-traits.rst,Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=concrete type,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-004,generic function,WB,v2-placement-priority,values.rst,168,fls_mt94jvoot9dx,Statics,19e75856eac5694e5d613c7c59b429848d333992,generics.rst,62,generics.rst,Generic Parameters,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=generic function,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-005,variable,WB,v2-placement-priority,ownership-and-deconstruction.rst,40,fls_hl5tnd9yy252,Initialization,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,147,macros.rst,Metavariables,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=variable,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-006,container operand,WB,v2-placement-priority,entities-and-resolution.rst,1284,fls_j1bip4w30q8,Field Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,456,expressions.rst,Place Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=container operand,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-007,undefined behavior,WB,v2-placement-priority,unsafety.rst,14,fls_r1m7v4k2t9pa,Unsafety,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,348,types-and-traits.rst,Bool Type,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=undefined behavior,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-008,code point,WB,v2-placement-priority,expressions.rst,2241,fls_4h2v3pk7qz6n,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,34,lexical-elements.rst,Character Set,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=code point,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-009,receiver operand,WB,v2-placement-priority,entities-and-resolution.rst,1372,fls_mbdS0xiNlj92,Method Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3658,expressions.rst,Method Call Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=receiver operand,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-010,associated constant,WB,v2-placement-priority,patterns.rst,379,fls_5y6ae0xqux57,Path Patterns,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,309,expressions.rst,Constant Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=associated constant,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-011,crate root module,WB,v2-placement-priority,entities-and-resolution.rst,973,fls_atvnwly4w8g2,Preludes,19e75856eac5694e5d613c7c59b429848d333992,entities-and-resolution.rst,1002,program-structure-and-compilation.rst,Compilation Roots,high,poor,inline_definition,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=crate root module,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-012,associated trait function,WB,v2-placement-priority,implementations.rst,224,fls_qmhduwunxww0,Implementation Conformance,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,294,associated-items.rst,Associated Items,high,poor,moderate_divergence,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=associated trait function,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-013,size,WB,v2-placement-priority,expressions.rst,2315,fls_1pbwigq6f3ha,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,2319,types-and-traits.rst,Type Layout,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=size,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-014,floating-point type,WB,v2-placement-priority,expressions.rst,1553,fls_xcUkEjuclTjp,Arithmetic Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,1061,lexical-elements.rst,Float Literals,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=floating-point type,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-015,safety invariant,WB,v2-placement-priority,attributes.rst,874,fls_0tYMAQY1V55p,Attribute ``naked``,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,659,types-and-traits.rst,Str Type,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=safety invariant,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-016,unit struct,WB,v2-placement-priority,expressions.rst,658,fls_4q6m9t1w7zpa,Path Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,654,expressions.rst,Path Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=unit struct,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-017,unsafe context,WB,v2-placement-priority,expressions.rst,3765,fls_jb6krd90tjmc,Field Access Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,662,expressions.rst,Path Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=unsafe context,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-018,associated trait constant,WB,v2-placement-priority,implementations.rst,213,fls_v31idwjau90d,Implementation Conformance,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,3643,types-and-traits.rst,Static Lifetime Elision,high,poor,moderate_divergence,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=associated trait constant,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-019,union value,WB,v2-placement-priority,expressions.rst,3270,fls_q7v2m9t4k1pa,Struct Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3267,expressions.rst,Struct Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=union value,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-020,pattern-without-alternation,WB,v2-placement-priority,ownership-and-deconstruction.rst,630,fls_3ycn4u1fe9h,Drop Scope Extension,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,871,ownership-and-deconstruction.rst,Drop Order,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=pattern-without-alternation,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-021,discriminant,WB,v2-placement-priority,expressions.rst,2224,fls_t4yeovFm83Wo,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,786,types-and-traits.rst,Enum Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=discriminant,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-022,field index,WB,v2-placement-priority,expressions.rst,3292,fls_y3p6rtm7ek3l,Struct Expressions,19e75856eac5694e5d613c7c59b429848d333992,patterns.rst,848,types-and-traits.rst,Struct Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=field index,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-023,static,WB,v2-placement-priority,expressions.rst,328,fls_ibrmiwfypldh,Constant Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,431,values.rst,Statics,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=static,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-024,evaluation,WB,v2-placement-priority,expressions.rst,2020,fls_ydt9zvh0h5ex,Comparison Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,122,expressions.rst,Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=evaluation,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-025,enum variant value,WB,v2-placement-priority,patterns.rst,836,fls_g6dytd6aq62d,Record Struct Patterns,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,756,types-and-traits.rst,Enum Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=enum variant value,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-026,immutable,WB,v2-placement-priority,expressions.rst,4867,fls_RPMOAaZ6lflI,Match Expressions,19e75856eac5694e5d613c7c59b429848d333992,values.rst,17,ffi.rst,External Statics,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=immutable,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-027,signed integer type,WB,v2-placement-priority,expressions.rst,1871,fls_3g2cxq6r7nkp,Bit Expressions,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,424,types-and-traits.rst,Integer Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=signed integer type,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-028,execution,WB,v2-placement-priority,statements.rst,51,fls_dl763ssb54q1,Statements,19e75856eac5694e5d613c7c59b429848d333992,statements.rst,44,statements.rst,Statements,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=execution,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-029,function body,WB,v2-placement-priority,types-and-traits.rst,2537,fls_927nfm5mkbsp,Type Inference,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,2573,functions.rst,Functions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=function body,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-030,attribute content,WB,v2-placement-priority,macros.rst,863,fls_9TMRVlQwAdTB,Token Matching,19e75856eac5694e5d613c7c59b429848d333992,attributes.rst,59,attributes.rst,Attributes,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=attribute content,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-031,borrowed,WB,v2-placement-priority,expressions.rst,1021,fls_ya77l2zgtilp,Borrow Expression,19e75856eac5694e5d613c7c59b429848d333992,values.rst,335,ownership-and-deconstruction.rst,Borrowing,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=borrowed,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-032,irrefutable pattern,WB,v2-placement-priority,statements.rst,86,fls_iqar7vvtw22c,Let Statements,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,2525,patterns.rst,Refutability,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=irrefutable pattern,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-033,record enum variant,WB,v2-placement-priority,expressions.rst,3352,fls_ccqomsereni2,Struct Expressions,19e75856eac5694e5d613c7c59b429848d333992,patterns.rst,900,patterns.rst,Record Struct Patterns,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=record enum variant,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-034,structurally equal,WB,v2-placement-priority,patterns.rst,394,fls_zCswsyuitexI,Path Patterns,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,2421,types-and-traits.rst,Structural Equality,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=structurally equal,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-035,implementation body,WB,v2-placement-priority,entities-and-resolution.rst,542,fls_pmo939jw9m1m,Generic Parameter Scope,19e75856eac5694e5d613c7c59b429848d333992,implementations.rst,52,entities-and-resolution.rst,Self Scope,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=implementation body,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-036,dangling,WB,v2-placement-priority,expressions.rst,1196,fls_9wgldua1u8yt,Dereference Expression,19e75856eac5694e5d613c7c59b429848d333992,values.rst,58,values.rst,Values,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=dangling,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
